=================================================================
                        LOG DETAILS OF JOB
=================================================================

17/03/20 23:29:32 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/20 23:29:33 INFO client.RMProxy: Connecting to ResourceManager at yogihadoopcluster-1-m/10.138.0.4:8032
17/03/20 23:29:34 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/20 23:29:37 INFO input.FileInputFormat: Total input paths to process : 3033
17/03/20 23:29:37 INFO mapreduce.JobSubmitter: number of splits:3033
17/03/20 23:29:37 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490049993001_0005
17/03/20 23:29:37 INFO impl.YarnClientImpl: Submitted application application_1490049993001_0005
17/03/20 23:29:37 INFO mapreduce.Job: The url to track the job: http://yogihadoopcluster-1-m:8088/proxy/application_1490049993001_0005/
17/03/20 23:29:37 INFO mapreduce.Job: Running job: job_1490049993001_0005
17/03/20 23:29:46 INFO mapreduce.Job: Job job_1490049993001_0005 running in uber mode : false
17/03/21 02:17:04 INFO mapreduce.Job:  map 100% reduce 13%
17/03/21 02:17:07 INFO mapreduce.Job:  map 100% reduce 14%
17/03/21 02:17:10 INFO mapreduce.Job:  map 100% reduce 16%
17/03/21 02:17:13 INFO mapreduce.Job:  map 100% reduce 17%
17/03/21 02:17:25 INFO mapreduce.Job:  map 100% reduce 23%
17/03/21 02:17:28 INFO mapreduce.Job:  map 100% reduce 25%
17/03/21 02:17:31 INFO mapreduce.Job:  map 100% reduce 27%
17/03/21 02:17:34 INFO mapreduce.Job:  map 100% reduce 28%
17/03/21 02:17:37 INFO mapreduce.Job:  map 100% reduce 29%
17/03/21 02:17:40 INFO mapreduce.Job:  map 100% reduce 30%
17/03/21 02:17:43 INFO mapreduce.Job:  map 100% reduce 31%
17/03/21 02:17:49 INFO mapreduce.Job:  map 100% reduce 32%
17/03/21 02:17:57 INFO mapreduce.Job:  map 100% reduce 35%
17/03/21 02:17:58 INFO mapreduce.Job:  map 100% reduce 36%
17/03/21 02:18:01 INFO mapreduce.Job:  map 100% reduce 37%
17/03/21 02:18:06 INFO mapreduce.Job:  map 100% reduce 38%
17/03/21 02:18:12 INFO mapreduce.Job:  map 100% reduce 39%
17/03/21 02:18:15 INFO mapreduce.Job:  map 100% reduce 42%
17/03/21 02:18:18 INFO mapreduce.Job:  map 100% reduce 43%
17/03/21 02:18:21 INFO mapreduce.Job:  map 100% reduce 44%
17/03/21 02:18:25 INFO mapreduce.Job:  map 100% reduce 45%
17/03/21 02:18:28 INFO mapreduce.Job:  map 100% reduce 46%
17/03/21 02:18:31 INFO mapreduce.Job:  map 100% reduce 47%
